CMDLINE python train.py
MEM 0.679688 1618257206.9170
MEM 352.945312 1618257207.0172
MEM 851.132812 1618257207.1174
MEM 892.839844 1618257207.2177
MEM 962.250000 1618257207.3178
MEM 982.355469 1618257207.4181
MEM 1009.890625 1618257207.5183
MEM 1028.324219 1618257207.6186
MEM 1048.878906 1618257207.7189
MEM 1068.976562 1618257207.8191
MEM 1077.046875 1618257207.9194
MEM 1077.464844 1618257208.0197
MEM 1077.464844 1618257208.1200
MEM 1077.464844 1618257208.2202
MEM 1077.925781 1618257208.3204
MEM 1077.925781 1618257208.4219
MEM 1077.925781 1618257208.5225
MEM 1077.957031 1618257208.6231
MEM 1077.957031 1618257208.7238
MEM 1077.957031 1618257208.8247
MEM 1077.957031 1618257208.9255
MEM 1077.957031 1618257209.0264
MEM 1077.957031 1618257209.1274
MEM 1077.957031 1618257209.2283
MEM 1077.957031 1618257209.3287
MEM 1077.957031 1618257209.4290
MEM 1077.957031 1618257209.5293
MEM 1077.957031 1618257209.6364
MEM 1077.957031 1618257209.7367
MEM 1077.957031 1618257209.8369
MEM 1077.957031 1618257209.9372
MEM 1077.957031 1618257210.0375
MEM 1077.957031 1618257210.1378
MEM 1077.957031 1618257210.2381
MEM 1077.957031 1618257210.3384
MEM 1077.957031 1618257210.4388
MEM 1077.957031 1618257210.5391
MEM 1077.957031 1618257210.6394
MEM 1077.957031 1618257210.7398
MEM 1077.957031 1618257210.8402
MEM 1077.957031 1618257210.9405
MEM 1077.957031 1618257211.0408
MEM 1077.957031 1618257211.1412
MEM 1077.957031 1618257211.2416
MEM 1077.957031 1618257211.3420
MEM 1077.957031 1618257211.4423
MEM 1077.957031 1618257211.5431
MEM 1088.414062 1618257211.6433
MEM 1086.996094 1618257211.7507
MEM 1087.011719 1618257211.8510
MEM 0.000000 1618257211.9513
